AgencyName,ArrestYear,ArrestDescription,AdultOrJuvenile,Category,County,months_submitted,refreshdate,ArrestCount
Adams Co SO,2016,Prostitution & Commercialized Vice,Total,Society Crimes,Adams,12,4/29/2020,0
Adams Co SO,2016,Rape - prior to 2017,Adult,Violent Crimes,Adams,12,4/29/2020,11
Adams Co SO,2016,Rape - prior to 2017,Juvenile,Violent Crimes,Adams,12,4/29/2020,6
Adams Co SO,2016,Rape - prior to 2017,Total,Violent Crimes,Adams,12,4/29/2020,17
Adams Co SO,2016,Robbery,Adult,Violent Crimes,Adams,12,4/29/2020,0
Adams Co SO,2016,Robbery,Juvenile,Violent Crimes,Adams,12,4/29/2020,0
Adams Co SO,2016,Robbery,Total,Violent Crimes,Adams,12,4/29/2020,0
Adams Co SO,2016,Sex Offenses - prior to 2017,Adult,Society Crimes,Adams,12,4/29/2020,6
Adams Co SO,2016,Sex Offenses - prior to 2017,Juvenile,Society Crimes,Adams,12,4/29/2020,5
Adams Co SO,2016,Sex Offenses - prior to 2017,Total,Society Crimes,Adams,12,4/29/2020,11
Adams Co SO,2016,Simple Assault,Adult,Other Crimes,Adams,12,4/29/2020,79
Adams Co SO,2016,Simple Assault,Juvenile,Other Crimes,Adams,12,4/29/2020,18
Adams Co SO,2016,Simple Assault,Total,Other Crimes,Adams,12,4/29/2020,97
Adams Co SO,2016,Stolen Property,Adult,Property Crimes,Adams,12,4/29/2020,3
Adams Co SO,2016,Stolen Property,Juvenile,Property Crimes,Adams,12,4/29/2020,0
Adams Co SO,2016,Stolen Property,Total,Property Crimes,Adams,12,4/29/2020,3
Adams Co SO,2016,Vagrancy Violations,Adult,Society Crimes,Adams,12,4/29/2020,0
Adams Co SO,2016,Vagrancy Violations,Juvenile,Society Crimes,Adams,12,4/29/2020,0
Adams Co SO,2016,Vagrancy Violations,Total,Society Crimes,Adams,12,4/29/2020,0
Adams Co SO,2016,Vandalism,Adult,Property Crimes,Adams,12,4/29/2020,21
Adams Co SO,2016,Vandalism,Juvenile,Property Crimes,Adams,12,4/29/2020,17
Adams Co SO,2016,Vandalism,Total,Property Crimes,Adams,12,4/29/2020,38
Adams Co SO,2016,Weapons,Adult,Society Crimes,Adams,12,4/29/2020,11
Adams Co SO,2016,Weapons,Juvenile,Society Crimes,Adams,12,4/29/2020,0
Adams Co SO,2016,Weapons,Total,Society Crimes,Adams,12,4/29/2020,11
Adams PD,2016, ,Adult,Grand total,Adams,12,4/29/2020,272
Adams PD,2016, ,Juvenile,Grand total,Adams,12,4/29/2020,52
Adams PD,2016, ,Total,Grand total,Adams,12,4/29/2020,324
Adams PD,2016,Aggravated Assault,Adult,Violent Crimes,Adams,12,4/29/2020,7
Adams PD,2016,Aggravated Assault,Juvenile,Violent Crimes,Adams,12,4/29/2020,0
Adams PD,2016,Aggravated Assault,Total,Violent Crimes,Adams,12,4/29/2020,7
Adams PD,2016,All Other Offenses,Adult,Other Crimes,Adams,12,4/29/2020,131
Adams PD,2016,All Other Offenses,Juvenile,Other Crimes,Adams,12,4/29/2020,12
Adams PD,2016,All Other Offenses,Total,Other Crimes,Adams,12,4/29/2020,143
Adams PD,2016,Arson,Adult,Property Crimes,Adams,12,4/29/2020,0
Adams PD,2016,Arson,Juvenile,Property Crimes,Adams,12,4/29/2020,0
Adams PD,2016,Arson,Total,Property Crimes,Adams,12,4/29/2020,0
Adams PD,2016,Burglary,Adult,Property Crimes,Adams,12,4/29/2020,4
Adams PD,2016,Burglary,Juvenile,Property Crimes,Adams,12,4/29/2020,1
Adams PD,2016,Burglary,Total,Property Crimes,Adams,12,4/29/2020,5
Adams PD,2016,Curfew/Loitering Violations,Adult,Society Crimes,Adams,12,4/29/2020,0
Adams PD,2016,Curfew/Loitering Violations,Juvenile,Society Crimes,Adams,12,4/29/2020,0
Adams PD,2016,Curfew/Loitering Violations,Total,Society Crimes,Adams,12,4/29/2020,0
Adams PD,2016,Disorderly Conduct,Adult,Society Crimes,Adams,12,4/29/2020,34
Adams PD,2016,Disorderly Conduct,Juvenile,Society Crimes,Adams,12,4/29/2020,14
Adams PD,2016,Disorderly Conduct,Total,Society Crimes,Adams,12,4/29/2020,48
Adams PD,2016,Driving Under the Influence,Adult,Society Crimes,Adams,12,4/29/2020,20
Adams PD,2016,Driving Under the Influence,Juvenile,Society Crimes,Adams,12,4/29/2020,0
Adams PD,2016,Driving Under the Influence,Total,Society Crimes,Adams,12,4/29/2020,20
Adams PD,2016,Drug - Unknown,Adult,Drug Crimes,Adams,12,4/29/2020,1
Adams PD,2016,Drug - Unknown,Juvenile,Drug Crimes,Adams,12,4/29/2020,0
Adams PD,2016,Drug - Unknown,Total,Drug Crimes,Adams,12,4/29/2020,1
Adams PD,2016,Drug Possession - Marijuana,Adult,Drug Crimes,Adams,12,4/29/2020,5
Adams PD,2016,Drug Possession - Marijuana,Juvenile,Drug Crimes,Adams,12,4/29/2020,4
Adams PD,2016,Drug Possession - Marijuana,Total,Drug Crimes,Adams,12,4/29/2020,9
Adams PD,2016,Drug Possession - Opium/Cocaine,Adult,Drug Crimes,Adams,12,4/29/2020,8
Adams PD,2016,Drug Possession - Opium/Cocaine,Juvenile,Drug Crimes,Adams,12,4/29/2020,0
Adams PD,2016,Drug Possession - Opium/Cocaine,Total,Drug Crimes,Adams,12,4/29/2020,8
Adams PD,2016,Drug Possession - Other Dangerous,Adult,Drug Crimes,Adams,12,4/29/2020,5
Adams PD,2016,Drug Possession - Other Dangerous,Juvenile,Drug Crimes,Adams,12,4/29/2020,0
Adams PD,2016,Drug Possession - Other Dangerous,Total,Drug Crimes,Adams,12,4/29/2020,5
Adams PD,2016,Drug Possession - Synthetic,Adult,Drug Crimes,Adams,12,4/29/2020,1
Adams PD,2016,Drug Possession - Synthetic,Juvenile,Drug Crimes,Adams,12,4/29/2020,0
Adams PD,2016,Drug Possession - Synthetic,Total,Drug Crimes,Adams,12,4/29/2020,1
Adams PD,2016,Drug Sale - Marijuana,Adult,Drug Crimes,Adams,12,4/29/2020,0
Adams PD,2016,Drug Sale - Marijuana,Juvenile,Drug Crimes,Adams,12,4/29/2020,0
Adams PD,2016,Drug Sale - Marijuana,Total,Drug Crimes,Adams,12,4/29/2020,0
Adams PD,2016,Drug Sale - Opium/Cocaine,Adult,Drug Crimes,Adams,12,4/29/2020,0
Adams PD,2016,Drug Sale - Opium/Cocaine,Juvenile,Drug Crimes,Adams,12,4/29/2020,0
Adams PD,2016,Drug Sale - Opium/Cocaine,Total,Drug Crimes,Adams,12,4/29/2020,0
Adams PD,2016,Drug Sale - Other Dangerous,Adult,Drug Crimes,Adams,12,4/29/2020,2
